Model,Threshold,AUROC,F1,Precision,Recall,Val_f1,Val_precision,Val_recall,Val_threshold
LSTM_AE,11.151867133969056,0.8316041981975419,0.09904333145751268,0.05774278215223097,0.34782608695652173,0.1045751633986928,0.07547169811320754,0.1702127659574468,11.151867133969056
Transformer_AE,14.937584423352966,0.8905702387270218,0.09050664043285783,0.051685393258426963,0.36363636363636365,0.10766045548654243,0.07602339181286549,0.18439716312056736,14.937584423352966
IsolationForest,5.837118759816826,0.8974785597213075,0.06790123456790123,0.04023408924652524,0.21739130434782608,0.09322033898305085,0.0582010582010582,0.23404255319148937,5.837118759816826
OneClassSVM,7.078708916721692,0.8860784036870419,0.0,0.0,0.0,0.07321131447587353,0.06896551724137931,0.07801418439716312,7.078708916721692
